Size,Random,gen_2,gen_3
500,110,106,103
600,106,102,100
700,124,125,121
800,125,123,119
900,133,124,121
1000,130,130,125
1100,171,166,165
1200,187,188,178
1300,198,196,196
1400,205,202,198
1500,220,222,222
1600,240,239,231
1700,254,254,242
1800,260,253,242
1900,269,272,269
2000,281,274,273
2100,328,316,323
2200,396,379,362
2300,407,391,378
2400,411,411,408
2500,430,413,413
2600,438,424,418
2700,463,450,451
2800,485,464,468
2900,484,479,460
3000,505,488,477
3100,516,508,504
3200,546,508,497
3300,540,523,522
3400,544,540,526
3500,574,566,546
3600,584,563,563
3700,597,576,559
3800,608,598,587
3900,621,608,595
4000,649,627,611
4100,659,649,635
4200,722,707,700
4300,796,777,772
4400,846,828,832
4500,856,824,818
4600,858,844,834
4700,890,857,846
4800,896,870,872
4900,924,883,885
5000,927,902,893
5100,938,924,963
5200,986,950,952
5300,992,961,949
5400,1003,967,954
5500,1024,980,975
5600,1035,1013,1001
5700,1032,1009,975
5800,1071,1022,1029
5900,1079,1051,1045
6000,1098,1071,1067
6100,1130,1083,1076
6200,1122,1088,1060
6300,1141,1098,1100
6400,1174,1121,1114
6500,1176,1127,1137
6600,1185,1139,1131
6700,1192,1176,1145
6800,1228,1187,1158
6900,1230,1197,1180
7000,1235,1204,1187
7100,1255,1235,1216
7200,1358,1250,1301
7300,1305,1265,1244
7400,1291,1261,1227
7500,1321,1266,1281
7600,1345,1303,1309
7700,1359,1319,1303
7800,1368,1323,1308
7900,1397,1351,1319
8000,1408,1373,1344
8100,1412,1401,1365
8200,1443,1400,1393
8300,1534,1475,1460
8400,1585,1530,1509
8500,1666,1606,1593
8600,1731,1693,1678
8700,1816,1739,1782
8800,1812,1764,1750
8900,1788,1765,1753
9000,1852,1791,1831
9100,1892,1827,1835
9200,1897,1825,1804
9300,1918,1873,1862
9400,1937,1879,1865
9500,1942,1885,1865
9600,1992,1914,1901
9700,2002,1926,1904
9800,2005,1941,1949
9900,2033,1971,1981
10000,2049,2000,1973
