Size,Random,gen_2,gen_3
500,375,373,332
600,448,366,338
700,505,438,441
800,468,607,508
900,875,672,621
1000,760,641,756
1100,709,733,762
1200,958,1078,848
1300,1067,963,1067
1400,949,1127,1195
1500,1366,1397,1585
1600,1101,1114,1230
1700,1674,1257,1394
1800,1573,1859,1469
1900,1554,1937,1509
2000,1967,1651,1646
2100,2085,1809,1630
2200,1781,2014,1952
2300,2046,1786,2213
2400,2158,2201,2165
2500,2430,2328,2290
2600,2742,2150,2232
2700,2800,3097,2617
2800,2667,2734,3044
2900,2633,2791,2316
3000,3101,2850,3143
3100,2730,3703,3154
3200,3189,2952,3013
3300,3460,2911,2741
3400,3283,3510,3532
3500,3974,2749,2624
3600,3415,3389,3083
3700,3359,4012,3941
3800,3547,3689,3282
3900,4006,3840,3946
4000,3480,3855,4387
4100,4137,4137,4485
4200,4766,4954,4489
4300,4722,5213,4737
4400,4850,4449,4565
4500,5304,4322,4202
4600,5093,4727,4909
4700,4805,5304,4033
4800,5188,4879,4906
4900,5158,6366,5259
5000,5848,5811,6093
5100,5975,5934,5795
5200,5111,5810,6110
5300,5490,6539,5696
5400,7118,4946,6483
5500,5552,6750,5871
5600,5811,7225,6384
5700,6576,7461,6259
5800,6982,5536,6857
5900,8057,6522,6659
6000,6081,6747,7621
6100,6217,5987,7398
6200,7018,6627,6648
6300,7273,6879,7219
6400,8062,6868,6514
6500,6465,8482,6991
6600,7519,6531,7618
6700,7562,7824,6060
6800,7754,9284,8138
6900,8937,7294,7608
7000,8374,8618,8195
7100,7927,9116,7705
7200,7900,6825,9353
7300,6697,7946,8989
7400,10461,10081,8725
7500,7975,8806,10582
7600,9487,10502,10763
7700,10508,7989,8897
7800,7752,8567,9661
7900,10523,10243,9208
8000,10709,8948,9659
8100,8928,9727,11050
8200,9977,9441,8539
8300,9735,11142,9355
8400,11524,9390,9037
8500,11936,8362,10459
8600,10576,9750,9548
8700,10245,10110,12927
8800,10265,10912,9563
8900,10720,12336,10577
9000,11076,10475,11305
9100,11226,12290,13124
9200,11455,11375,12759
9300,10443,12812,10363
9400,12402,12195,11331
9500,11062,13501,10628
9600,10825,11017,10996
9700,12970,13810,13490
9800,12580,10427,11580
9900,11215,12275,10175
10000,12577,12131,12975
