Size,Random,gen_2,gen_3
500,577,475,440
600,464,429,363
700,365,416,383
800,431,426,399
900,443,429,418
1000,462,456,447
1100,497,479,471
1200,525,520,510
1300,546,543,554
1400,605,607,594
1500,642,633,652
1600,722,684,699
1700,767,750,755
1800,799,795,769
1900,853,846,836
2000,893,872,870
2100,938,930,939
2200,987,971,968
2300,1034,1024,1030
2400,1097,1049,1071
2500,1099,1097,1089
2600,1161,1138,1136
2700,1219,1206,1191
2800,1267,1270,1244
2900,1321,1285,1288
3000,1334,1337,1343
3100,1407,1394,1385
3200,1468,1462,1459
3300,1486,1465,1467
3400,1528,1500,1499
3500,1571,1564,1567
3600,1686,1641,1613
3700,1672,1657,1669
3800,1732,1709,1693
3900,1823,1779,1748
4000,1839,1793,1816
4100,1918,1886,1906
4200,1983,1941,1928
4300,1991,1953,1927
4400,2041,2017,2023
4500,2101,2072,2061
4600,2099,2076,2076
4700,2155,2162,2191
4800,2210,2168,2184
4900,2290,2257,2252
5000,2363,2321,2297
5100,2345,2322,2319
5200,2548,2534,2395
5300,2505,2445,2419
5400,2501,2449,2500
5500,2565,2532,2539
5600,2572,2556,2571
5700,2639,2593,2589
5800,2672,2658,2679
5900,2789,2736,2717
6000,2797,2794,2746
6100,3030,2897,2823
6200,2908,2805,2821
6300,2921,2863,2918
6400,3003,2954,2981
6500,3021,2987,2987
6600,3107,3043,3072
6700,3105,3076,3090
6800,3210,3128,3157
6900,3220,3177,3181
7000,3292,3222,3211
7100,3343,3298,3296
7200,3373,3332,3446
7300,3481,3419,3372
7400,3518,3457,3446
7500,3512,3469,3464
7600,3757,3642,3586
7700,3632,3601,3611
7800,3708,3673,3652
7900,3752,3712,3681
8000,3818,3796,3724
8100,3850,3817,3828
8200,3893,3901,3875
8300,3977,3917,3889
8400,4031,3997,3922
8500,4063,3999,4013
8600,4146,4110,4062
8700,4191,4089,4086
8800,4225,4174,4154
8900,4226,4184,4193
9000,4338,4260,4239
9100,4545,4444,4323
9200,4425,4370,4367
9300,4438,4400,4390
9400,4560,4411,4393
9500,4518,4454,4465
9600,4740,4760,4579
9700,4688,4645,4620
9800,4743,4681,4614
9900,4787,4749,4710
10000,4845,4760,4731
