Size,Random,gen_2,gen_3
500,1437,1343,1227
600,1318,1292,1248
700,1449,1483,1559
800,1717,1671,1669
900,1877,1918,1911
1000,2073,2058,2052
1100,2265,2267,2262
1200,2510,2567,2519
1300,2732,2729,2749
1400,2952,2956,2969
1500,3176,3151,3098
1600,3307,3354,3378
1700,3518,3523,3727
1800,3775,3825,3830
1900,3972,3956,3930
2000,4203,4255,4194
2100,4448,4368,4368
2200,4689,4596,4559
2300,4806,4779,4785
2400,5054,5046,5021
2500,5299,5241,5231
2600,5475,5449,5430
2700,5690,5646,5645
2800,5895,5823,5806
2900,6066,6035,6063
3000,6258,6272,6309
3100,6506,6800,6617
3200,6673,6665,6642
3300,6921,7051,6939
3400,7145,7094,7184
3500,7366,7334,7387
3600,7558,7522,7658
3700,7739,7760,7840
3800,8077,7944,8076
3900,8211,8213,8336
4000,8445,8401,8760
4100,8640,8614,8743
4200,8954,8929,8955
4300,9076,9153,9212
4400,9289,9300,9410
4500,9479,9448,9657
4600,9676,9659,9805
4700,10041,9998,10046
4800,10265,10188,10253
4900,10487,10388,10439
5000,10630,10638,10639
5100,10910,10903,10834
5200,11133,11157,11058
5300,11364,11373,11257
5400,11616,11537,11498
5500,11852,11751,11702
5600,11986,12038,11911
5700,12075,12136,12082
5800,12379,12425,12319
5900,12523,12673,12639
6000,12807,12890,12710
6100,12901,13197,12904
6200,13342,13298,13079
6300,13418,13542,13418
6400,13625,13763,13672
6500,13786,14015,13806
6600,14136,14166,14010
6700,14277,14322,14182
6800,14427,14604,14513
6900,14813,14955,14735
7000,14939,15032,14968
7100,15162,15303,15118
7200,15450,15589,15389
7300,15616,15786,15692
7400,15935,16001,15731
7500,16039,16155,16105
7600,16366,16415,16278
7700,16475,16706,16497
7800,16878,16831,16682
7900,17034,17174,16935
8000,17357,17386,17335
8100,17467,17568,17441
8200,17626,17897,17823
8300,18113,18100,17994
8400,18328,18373,18085
8500,18363,18673,18513
8600,18811,18837,18781
8700,19077,19061,18798
8800,19092,19317,19051
8900,19449,19621,19423
9000,19658,19717,19741
9100,20047,20008,19968
9200,20290,20411,20261
9300,20569,20422,20315
9400,20777,20628,20437
9500,20978,20857,20708
9600,21164,21112,20943
9700,21299,21409,21214
9800,21651,21540,21414
9900,21899,21745,21634
10000,22110,22096,21892
